filename,source,split,image_path,mask_path,wound_percentage,brightness_mean,brightness_std,contrast_rms,mask_area_pixels,mask_edge_density,is_empty,is_outlier,outlier_reason,review_status
fusc_0002.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0002.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0002.png,1.1482,81.1,80.99,80.99,3010,0.0,False,False,,
fusc_0003.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0003.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0003.png,1.9005,110.49,78.76,78.76,4982,0.0,False,False,,
fusc_0006.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0006.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0006.png,0.7324,105.31,77.8,77.8,1920,0.0,False,False,,
fusc_0008.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0008.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0008.png,0.8804,118.14,83.77,83.77,2308,0.0,False,False,,
fusc_0010.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0010.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0010.png,4.3034,70.77,65.34,65.34,11281,0.0,False,False,,
fusc_0011.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0011.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0011.png,3.5385,97.49,73.55,73.55,9276,0.0,False,False,,
fusc_0016.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0016.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0016.png,7.1793,69.67,66.28,66.28,18820,0.0,False,False,,
fusc_0017.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0017.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0017.png,0.4009,97.96,83.98,83.98,1051,0.0,False,False,,
fusc_0018.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0018.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0018.png,0.8698,97.86,78.62,78.62,2280,0.0,False,False,,
fusc_0019.png,fusc,train,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_images\fusc_0019.png,C:\Users\LEGIO\Desktop\AppPython\sequential-wound-image-analysis\data\raw\data_wound_seg\train_masks\fusc_0019.png,0.8358,67.6,58.26,58.26,2191,0.0,False,False,,
